District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Sai Kung,TKO Spot (non-residential),27/08/2020,"1596, 1861, 1983, 2066, 2473, 2608, 3787, 4201, 4761, 4762, 4763"
Kwai Tsing,MTR Kwai Fong Station (non-residential),27/08/2020,"4416, 4460, 4480, 4786"
Kwun Tong,Choi Tak Shopping Centre (non-residential),27/08/2020,"4764, 4771"
Kwun Tong,Lower Ngau Tau Kok Estate Plaza (non-residential),27/08/2020,"4776, 4785, 4812"
Kwun Tong,Lei Yue Mun Municipal Services Building (non-residential),28/08/2020,"2634, 2647, 2656, 3908, 4800"
Yau Tsim Mong,Best Western Plus Hotel Kowloon (non-residential),28/08/2020,4768
Kwun Tong,Amoy Plaza Phase 4 Hak Ka Hut (non-residential),28/08/2020,4774
Yau Tsim Mong,The ONE East Ocean‧Lafayette (non-residential),28/08/2020,4779
Kowloon City,Tung Hing Building (non-residential),28/08/2020,4779
Kwun Tong,Upper Ngau Tau Kok Estate Shopping Centre (non-residential),28/08/2020,"4785, 4812"
Sham Shui Po,Trade Square Fulum Restaurant (non-residential),28/08/2020,"4790, 4868"
Wan Chai,Hong Kong Police Headquarters (non-residential),28/08/2020,4798
Kwun Tong,Lei Yue Mun Plaza Fairwood (non-residential),28/08/2020,4800
Kwun Tong,Upper Ngau Tau Kok Estate Shopping Centre Maxim's MX (non-residential),28/08/2020,4814
Tuen Mun,Tuen Mun Town Plaza Phase 2 Pho Le (non-residential),28/08/2020,4820
Wong Tai Sin,Fung Cheung House Treasure City Hot Pot Seafood Restaurant (non-residential),28/08/2020,4839
Tsuen Wan,Heung Che Street Market (non-residential),29/08/2020,"4696, 4727, 4816"
Sham Shui Po,Cheung Yan House Cheung Sha Wan Estate (non-residential),29/08/2020,4790
Yuen Long,Hing Fat House McDonald's (non-residential),29/08/2020,4818
Yau Tsim Mong,Victoria Mall (non-residential),30/08/2020,"4491, 4679, 4764, 4872"
Yuen Long,YOHO Mall II Tai Hing (non-residential),30/08/2020,"4809, 4810"
Wong Tai Sin,Chuk Yuen Market (non-residential),30/08/2020,4839
Eastern,480 King's Road (non-residential),30/08/2020,4845
Yau Tsim Mong,Carprio Mansion McDonald's (non-residential),30/08/2020,4852
Yau Tsim Mong,Yiu Chung Building Ming's Kitchen (non-residential),30/08/2020,4852
Yau Tsim Mong,T.A.L. Building (non-residential),30/08/2020,4872
Sham Shui Po,Pei Ho Street Municipal Services Building (non-residential),31/08/2020,"1557, 1608, 1611, 1808, 1852, 1905, 1926, 1927, 2056, 2057, 2140, 2186, 2283, 2292, 2482, 2652, 3156, 3351, 3465, 3765, 3839, 4682, 4840"
